Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,TotalIncome,LoanAmountToIncomeRatio,LoanAmount_Log,TotalIncome_Log,IncomePerDependent,EMI,EMIToIncomeRatio
LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,Y,False,False,True,11580.0,0.027202072538860103,5.755742213586912,9.357121103184378,5790.0,26.25,0.0022668393782383418
LP001047,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,N,False,True,False,4511.0,0.025714919086677012,4.762173934797756,8.414495793177895,4511.0,9.666666666666666,0.002142909923889751
LP001050,1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,N,True,False,False,5282.0,0.021204089360090876,4.727387818712341,8.572249397164315,1760.6666666666667,9.333333333333334,0.0017670074466742396
LP001052,1,1,1,0,0,3717,2925.0,151.0,360.0,1.0,N,False,True,False,6642.0,0.02273411623005119,5.0238805208462765,8.80131894766524,3321.0,12.583333333333334,0.0018945096858375991
LP001066,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,Y,False,True,False,9560.0,0.01997907949790795,5.2574953720277815,9.165447603085447,9560.0,15.916666666666666,0.001664923291492329
LP001068,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,Y,False,True,False,5052.0,0.02414885193982581,4.812184355372417,8.527737405291909,5052.0,10.166666666666666,0.0020124043283188176
LP001073,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,Y,False,False,True,5266.0,0.020888720091150777,4.709530201312334,8.569216219483389,1755.3333333333333,9.166666666666666,0.0017407266742625648
LP001086,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,N,False,False,True,1442.0,0.024271844660194174,3.58351893845611,7.274479558773871,1442.0,2.9166666666666665,0.0020226537216828477
LP001087,0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,Y,False,True,False,5833.0,0.020572604148808505,4.795790545596741,8.671458150427666,1944.3333333333333,10.0,0.0017143836790673753
LP001091,1,1,1,0,0,4166,3369.0,201.0,360.0,1.0,N,False,False,True,7535.0,0.026675514266755143,5.308267697401205,8.927446816256198,3767.5,16.75,0.002222959522229595
LP001095,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,N,False,False,True,3167.0,0.023365961477739186,4.31748811353631,8.060855752934316,3167.0,6.166666666666667,0.0019471634564782656
LP001097,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,N,True,False,False,4692.0,0.022591645353793693,4.672828834461906,8.453827315794417,2346.0,8.833333333333334,0.0018826371128161411
LP001098,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,Y,False,True,False,5167.0,0.022063092703696534,4.74493212836325,8.550241045462437,5167.0,9.5,0.0018385910586413779
LP001100,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,N,True,False,False,15500.0,0.02064516129032258,5.771441123130016,9.648659816955295,3875.0,26.666666666666668,0.0017204301075268817
LP001106,1,1,0,0,0,2275,2067.0,128.0,360.0,1.0,Y,False,False,True,4342.0,0.02947950253339475,4.859812404361672,8.376320632534823,4342.0,10.666666666666666,0.002456625211116229
LP001109,1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,N,False,False,True,3158.0,0.031665611146295125,4.61512051684126,8.058010800802085,3158.0,8.333333333333334,0.002638800928857927
LP001112,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,Y,False,True,False,5126.0,0.02809207959422552,4.976733742420574,8.5422759717837,5126.0,12.0,0.0023410066328521262
LP001114,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,Y,False,False,True,11376.0,0.01617440225035162,5.220355825078324,9.339349052539717,11376.0,15.333333333333334,0.0013478668541959682
LP001116,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,Y,False,True,False,5416.0,0.02031019202363368,4.709530201312334,8.597297435657898,5416.0,9.166666666666666,0.001692516001969473
LP001119,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,N,False,False,True,3600.0,0.022222222222222223,4.394449154672439,8.188966863648876,3600.0,6.666666666666667,0.001851851851851852
LP001120,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,Y,False,False,True,3013.0,0.015599070693660804,3.871201010907891,8.01102337918644,3013.0,3.9166666666666665,0.001299922557805067
LP001123,1,1,0,0,0,2400,0.0,75.0,360.0,1.0,Y,False,False,True,2400.0,0.03125,4.330733340286331,7.783640596221253,2400.0,6.25,0.0026041666666666665
LP001131,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,Y,False,True,False,6277.0,0.021347777600764697,4.90527477843843,8.744806737401898,6277.0,11.166666666666666,0.0017789814667303913
LP001136,1,1,0,1,1,4695,0.0,96.0,360.0,1.0,Y,False,False,True,4695.0,0.020447284345047924,4.574710978503383,8.454466361507933,4695.0,8.0,0.0017039403620873268
LP001137,0,0,0,0,0,3410,0.0,88.0,360.0,1.0,Y,False,False,True,3410.0,0.025806451612903226,4.48863636973214,8.134760782418645,3410.0,7.333333333333333,0.002150537634408602
LP001138,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,Y,False,False,True,5649.0,0.007788989201628607,3.8066624897703196,8.639410824140487,2824.5,3.6666666666666665,0.0006490824334690505
LP001144,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,Y,False,False,True,5821.0,0.02473801752276241,4.976733742420574,8.669399124305569,5821.0,12.0,0.002061501460230201
LP001146,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,N,False,False,True,6085.0,0.01972062448644207,4.795790545596741,8.713746330456916,6085.0,10.0,0.0016433853738701725
LP001151,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,Y,False,True,False,6275.0,0.022948207171314742,4.976733742420574,8.744488113852924,6275.0,12.0,0.0019123505976095618
LP001155,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,Y,False,True,False,3572.0,0.027995520716685332,4.61512051684126,8.181160858023409,3572.0,8.333333333333334,0.002332960059723778
LP001157,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,Y,False,True,False,3086.0,0.03888528839922229,4.795790545596741,8.034955024502159,3086.0,10.0,0.0032404406999351912
LP001164,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,N,False,True,False,4230.0,0.026477541371158392,4.727387818712341,8.350193650720067,4230.0,9.333333333333334,0.002206461780929866
LP001179,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,N,False,False,True,4616.0,0.02902946273830156,4.90527477843843,8.43750042250699,1538.6666666666667,11.166666666666666,0.002419121894858463
LP001186,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,N,False,False,True,11500.0,0.024869565217391306,5.659482215759621,9.350189267092581,5750.0,23.833333333333332,0.002072463768115942
LP001194,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,Y,False,True,False,3875.0,0.02503225806451613,4.584967478670572,8.262558973010657,1291.6666666666667,8.083333333333334,0.002086021505376344
LP001195,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,Y,False,True,False,3723.0,0.0257856567284448,4.574710978503383,8.222553638396958,3723.0,8.0,0.0021488047273704003
LP001197,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,N,True,False,False,5566.0,0.024254401724757457,4.912654885736052,8.624611588183507,5566.0,11.25,0.002021200143729788
LP001198,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,Y,False,False,True,10330.0,0.017424975798644726,5.198497031265826,9.242904362849446,5165.0,15.0,0.001452081316553727
LP001199,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,Y,False,False,True,6216.0,0.023166023166023165,4.976733742420574,8.735042754269337,2072.0,12.0,0.0019305019305019305
LP001205,1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,Y,False,False,True,6296.0,0.01905972045743329,4.795790545596741,8.747828608488742,6296.0,10.0,0.0015883100381194409
LP001206,1,1,3,0,0,3029,0.0,99.0,360.0,1.0,Y,False,False,True,3029.0,0.03268405414328161,4.605170185988092,8.016317898503415,757.25,8.25,0.0027236711786068008
LP001207,1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,N,True,False,False,6058.0,0.02723671178606801,5.111987788356544,8.70930004894499,6058.0,27.5,0.004539451964344668
LP001213,1,1,1,0,0,4945,0.0,128.0,360.0,0.0,N,True,False,False,4945.0,0.025884732052578362,4.859812404361672,8.506334448081361,2472.5,10.666666666666666,0.00215706100438153
LP001222,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,N,False,True,False,4166.0,0.02784445511281805,4.762173934797756,8.334951631422454,4166.0,9.666666666666666,0.002320371259401504
LP001225,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,N,False,True,False,10321.0,0.024997577754093597,5.556828061699537,9.242032818708672,10321.0,21.5,0.0020831314795077996
LP001228,1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,N,False,False,True,5454.0,0.0231023102310231,4.844187086458591,8.604287898267172,5454.0,21.0,0.0038503850385038503
LP001233,1,1,1,0,0,10750,0.0,312.0,360.0,1.0,Y,False,False,True,10750.0,0.02902325581395349,5.746203190540153,9.282754052485227,5375.0,26.0,0.0024186046511627908
LP001238,1,1,3,1,1,7100,0.0,125.0,60.0,1.0,Y,False,False,True,7100.0,0.017605633802816902,4.836281906951478,8.867990898182093,1775.0,62.5,0.008802816901408451
LP001241,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,N,False,True,False,4300.0,0.03162790697674418,4.919980925828125,8.366602832783736,4300.0,11.333333333333334,0.0026356589147286825
LP001243,1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,Y,False,False,True,6274.0,0.027414727446605038,5.153291594497779,8.744328763999984,6274.0,14.333333333333334,0.00228456062055042
LP001245,1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,Y,False,True,False,3750.0,0.025866666666666666,4.584967478670572,8.229777750081887,1250.0,8.083333333333334,0.0021555555555555555
LP001248,1,0,0,0,0,3500,0.0,81.0,300.0,1.0,Y,False,True,False,3500.0,0.023142857142857142,4.406719247264253,8.160803920954665,3500.0,8.1,0.002314285714285714
LP001250,1,1,3,1,0,4755,0.0,95.0,360.0,0.0,N,False,True,False,4755.0,0.019978969505783387,4.564348191467836,8.467162257810672,1188.75,7.916666666666667,0.0016649141254819488
LP001253,1,1,3,0,1,5266,1774.0,187.0,360.0,1.0,Y,False,True,False,7040.0,0.0265625,5.236441962829949,8.859505484519133,1760.0,15.583333333333334,0.0022135416666666666
LP001255,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,N,False,False,True,3750.0,0.030133333333333335,4.736198448394496,8.229777750081887,3750.0,7.0625,0.0018833333333333334
LP001256,1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,N,False,False,True,8500.0,0.020705882352941178,5.176149732573829,9.04793908261736,8500.0,14.666666666666666,0.0017254901960784314
LP001259,1,1,1,0,1,1000,3022.0,110.0,360.0,1.0,N,False,False,True,4022.0,0.02734957732471407,4.709530201312334,8.299783171949787,2011.0,9.166666666666666,0.0022791314437261728
LP001263,1,1,3,0,0,3167,4000.0,180.0,300.0,0.0,N,False,True,False,7167.0,0.025115110925073254,5.198497031265826,8.877381954654766,1791.75,18.0,0.0025115110925073253
LP001264,1,1,3,1,1,3333,2166.0,130.0,360.0,1.0,Y,False,True,False,5499.0,0.02364066193853428,4.875197323201151,8.612503371220562,1374.75,10.833333333333334,0.0019700551615445235
LP001265,0,0,0,0,0,3846,0.0,111.0,360.0,1.0,Y,False,True,False,3846.0,0.028861154446177848,4.718498871295094,8.255048902752295,3846.0,9.25,0.002405096203848154
LP001266,1,1,1,0,1,2395,0.0,128.0,360.0,1.0,Y,False,True,False,2395.0,0.05344467640918581,4.859812404361672,7.78155595923534,1197.5,10.666666666666666,0.004453723034098816
LP001267,0,1,2,0,0,1378,1881.0,167.0,360.0,1.0,N,False,False,True,3259.0,0.0512427124884934,5.123963979403259,8.089482474360754,1086.3333333333333,13.916666666666666,0.004270226040707784
LP001273,1,1,0,0,0,6000,2250.0,265.0,360.0,1.0,N,False,True,False,8250.0,0.03212121212121212,5.583496308781699,9.018089684104343,8250.0,22.083333333333332,0.0026767676767676767
LP001275,1,1,1,0,0,3988,0.0,50.0,240.0,1.0,Y,False,False,True,3988.0,0.012537612838515547,3.9318256327243257,8.291295851905407,1994.0,6.25,0.0015672016048144434
LP001279,1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,Y,False,True,False,4897.0,0.027772105370635083,4.919980925828125,8.496582237512113,4897.0,11.333333333333334,0.0023143421142195904
LP001280,1,1,2,1,0,3333,2000.0,99.0,360.0,1.0,Y,False,True,False,5333.0,0.0185636602287643,4.605170185988092,8.58185670474196,1777.6666666666667,8.25,0.0015469716857303582
LP001282,1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,Y,False,True,False,4618.0,0.02252057167605024,4.653960350157523,8.437933510430605,4618.0,8.666666666666666,0.0018767143063375196
LP001289,1,0,0,0,0,8566,0.0,210.0,360.0,1.0,Y,False,False,True,8566.0,0.02451552650011674,5.351858133476067,9.055672891964043,8566.0,17.5,0.002042960541676395
LP001310,1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,Y,False,True,False,9862.0,0.017744879334820524,5.170483995038151,9.196545660953994,9862.0,14.583333333333334,0.001478739944568377
LP001316,1,1,0,0,0,2958,2900.0,131.0,360.0,1.0,Y,False,True,False,5858.0,0.022362581085694777,4.882801922586371,8.675734219544788,5858.0,10.916666666666666,0.0018635484238078979
LP001318,1,1,2,0,0,6250,5654.0,188.0,180.0,1.0,Y,False,True,False,11904.0,0.015793010752688172,5.241747015059643,9.384713758920963,3968.0,31.333333333333332,0.0026321684587813617
LP001319,1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,Y,False,False,True,5093.0,0.015904182210877676,4.406719247264253,8.535818655539403,1697.6666666666667,6.75,0.0013253485175731396
LP001322,1,0,0,0,0,4133,0.0,122.0,360.0,1.0,Y,False,True,False,4133.0,0.029518509557222357,4.812184355372417,8.327000740241713,4133.0,10.166666666666666,0.0024598757964351963
LP001325,1,0,0,1,0,3620,0.0,25.0,120.0,1.0,Y,False,True,False,3620.0,0.006906077348066298,3.258096538021482,8.19450550976564,3620.0,6.25,0.0017265193370165745
LP001326,1,0,0,0,0,6782,0.0,128.0,360.0,1.0,N,False,False,True,6782.0,0.018873488646416987,4.859812404361672,8.82217476094608,6782.0,10.666666666666666,0.0015727907205347487
LP001327,0,1,0,0,0,2484,2302.0,137.0,360.0,1.0,Y,False,True,False,4786.0,0.028625156707062265,4.927253685157205,8.473659189392508,4786.0,11.416666666666666,0.002385429725588522
LP001333,1,1,0,0,0,1977,997.0,50.0,360.0,1.0,Y,False,True,False,2974.0,0.016812373907195696,3.9318256327243257,7.99799931797973,2974.0,4.166666666666667,0.0014010311589329747
LP001334,1,1,0,1,0,4188,0.0,115.0,180.0,1.0,Y,False,True,False,4188.0,0.027459407831900668,4.7535901911063645,8.340217320947035,4188.0,19.166666666666668,0.004576567971983445
LP001343,1,1,0,0,0,1759,3541.0,131.0,360.0,1.0,Y,False,True,False,5300.0,0.02471698113207547,4.882801922586371,8.575650760987806,5300.0,10.916666666666666,0.0020597484276729558
LP001345,1,1,2,1,0,4288,3263.0,133.0,180.0,1.0,Y,False,False,True,7551.0,0.01761356111773275,4.897839799950911,8.929567707825337,2517.0,22.166666666666668,0.002935593519622125
LP001349,1,0,0,0,0,4843,3806.0,151.0,360.0,1.0,Y,False,True,False,8649.0,0.017458665741704245,5.0238805208462765,9.065314599925925,8649.0,12.583333333333334,0.001454888811808687
LP001350,1,1,0,0,0,13650,0.0,128.0,360.0,1.0,Y,False,False,True,13650.0,0.009377289377289377,4.859812404361672,9.521568058002977,13650.0,10.666666666666666,0.0007814407814407814
LP001356,1,1,0,0,0,4652,3583.0,128.0,360.0,1.0,Y,False,True,False,8235.0,0.01554341226472374,4.859812404361672,9.01627006814768,8235.0,10.666666666666666,0.001295284355393645
LP001357,1,1,0,0,0,3816,754.0,160.0,360.0,1.0,Y,False,False,True,4570.0,0.0350109409190372,5.081404364984463,8.427487278331744,4570.0,13.333333333333334,0.0029175784099197666
LP001367,1,1,1,0,0,3052,1030.0,100.0,360.0,1.0,Y,False,False,True,4082.0,0.02449779519843214,4.61512051684126,8.314587291319576,2041.0,8.333333333333334,0.0020414829332026786
LP001369,1,1,2,0,0,11417,1126.0,225.0,360.0,1.0,Y,False,False,True,12543.0,0.01793829227457546,5.420534999272286,9.436997742590188,4181.0,18.75,0.001494857689547955
LP001370,1,0,0,1,0,7333,0.0,120.0,360.0,1.0,N,True,False,False,7333.0,0.01636438019909996,4.795790545596741,8.900276348631271,7333.0,10.0,0.0013636983499249965
LP001379,1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,N,False,False,True,7400.0,0.02918918918918919,5.37989735354046,8.909370405197466,2466.6666666666665,18.0,0.0024324324324324323
LP001384,1,1,3,1,0,2071,754.0,94.0,480.0,1.0,Y,False,True,False,2825.0,0.03327433628318584,4.553876891600541,7.946617563244473,706.25,5.875,0.002079646017699115
LP001385,1,0,0,0,0,5316,0.0,136.0,360.0,1.0,Y,False,False,True,5316.0,0.025583145221971408,4.919980925828125,8.57866451350434,5316.0,11.333333333333334,0.0021319287684976175
LP001387,0,1,0,0,0,2929,2333.0,139.0,360.0,1.0,Y,False,True,False,5262.0,0.026415811478525276,4.941642422609304,8.56845648535378,5262.0,11.583333333333334,0.00220131762321044
LP001391,1,1,0,1,0,3572,4114.0,152.0,360.0,0.0,N,True,False,False,7686.0,0.019776216497527973,5.030437921392435,8.947285869349132,7686.0,12.666666666666666,0.0016480180414606643
LP001392,0,0,1,0,1,7451,0.0,128.0,360.0,1.0,Y,False,True,False,7451.0,0.01717890216078379,4.859812404361672,8.916237731721479,3725.5,10.666666666666666,0.0014315751800653156
LP001398,1,0,0,0,0,5050,0.0,118.0,360.0,1.0,Y,False,True,False,5050.0,0.023366336633663366,4.77912349311153,8.527341522468053,5050.0,9.833333333333334,0.0019471947194719473
LP001401,1,1,1,0,0,14583,0.0,185.0,180.0,1.0,Y,True,False,False,14583.0,0.012686004251525749,5.225746673713202,9.5876803163585,7291.5,30.833333333333332,0.0021143340419209583
LP001404,0,1,0,0,0,3167,2283.0,154.0,360.0,1.0,Y,False,True,False,5450.0,0.028256880733944955,5.043425116919247,8.603554357064281,5450.0,12.833333333333334,0.0023547400611620794
LP001405,1,1,1,0,0,2214,1398.0,85.0,360.0,1.0,Y,False,False,True,3612.0,0.02353266888150609,4.454347296253507,8.19229373114764,1806.0,7.083333333333333,0.0019610557401255075
LP001421,1,1,0,0,0,5568,2142.0,175.0,360.0,1.0,N,True,False,False,7710.0,0.022697795071335927,5.170483995038151,8.95040315983296,7710.0,14.583333333333334,0.0018914829226113273
LP001422,0,0,0,0,0,10408,0.0,259.0,360.0,1.0,Y,False,False,True,10408.0,0.024884704073789392,5.560681631015528,9.250426095515468,10408.0,21.583333333333332,0.0020737253394824493
LP001426,1,1,0,0,0,5667,2667.0,180.0,360.0,1.0,Y,True,False,False,8334.0,0.02159827213822894,5.198497031265826,9.028218795184895,8334.0,15.0,0.0017998560115190785
LP001430,0,0,0,0,0,4166,0.0,44.0,360.0,1.0,Y,False,True,False,4166.0,0.01056168987037926,3.8066624897703196,8.334951631422454,4166.0,3.6666666666666665,0.0008801408225316051
LP001431,0,0,0,0,0,2137,8980.0,137.0,360.0,0.0,Y,False,True,False,11117.0,0.01232346856166232,4.927253685157205,9.316320695513415,11117.0,11.416666666666666,0.00102695571347186
LP001432,1,1,2,0,0,2957,0.0,81.0,360.0,1.0,Y,False,True,False,2957.0,0.027392627663172135,4.406719247264253,7.992268643270745,985.6666666666666,6.75,0.0022827189719310114
LP001439,1,1,0,1,0,4300,2014.0,194.0,360.0,1.0,Y,True,False,False,6314.0,0.030725372188786824,5.272999558563747,8.750683034784592,6314.0,16.166666666666668,0.002560447682398902
LP001443,0,0,0,0,0,3692,0.0,93.0,360.0,1.0,Y,True,False,False,3692.0,0.025189599133261104,4.543294782270004,8.214194414852564,3692.0,7.75,0.002099133261105092
LP001448,1,1,3,0,0,23803,0.0,370.0,360.0,1.0,Y,True,False,False,23803.0,0.015544259127000798,5.916202062607435,10.077608912764743,5950.75,30.833333333333332,0.0012953549272500665
LP001449,1,0,0,0,0,3865,1640.0,128.0,360.0,1.0,Y,True,False,False,5505.0,0.023251589464123524,4.859812404361672,8.613593685702552,5505.0,10.666666666666666,0.0019376324553436268
LP001451,1,1,1,0,1,10513,3850.0,160.0,180.0,0.0,N,False,False,True,14363.0,0.011139734038849823,5.081404364984463,9.572480355345974,7181.5,26.666666666666668,0.0018566223398083037
LP001465,1,1,0,0,0,6080,2569.0,182.0,360.0,1.0,N,True,False,False,8649.0,0.021042895132385248,5.209486152841421,9.065314599925925,8649.0,15.166666666666666,0.0017535745943654372
LP001469,1,0,0,0,1,20166,0.0,650.0,480.0,1.0,Y,False,False,True,20166.0,0.03223247049489239,6.478509642208569,9.911802884139842,20166.0,40.625,0.0020145294059307744
LP001473,1,0,0,0,0,2014,1929.0,74.0,360.0,1.0,Y,False,False,True,3943.0,0.018767435962465127,4.31748811353631,8.279950715722526,3943.0,6.166666666666667,0.0015639529968720942
LP001478,1,0,0,0,0,2718,0.0,70.0,360.0,1.0,Y,False,True,False,2718.0,0.025754231052244298,4.2626798770413155,7.908019444632471,2718.0,5.833333333333333,0.002146185921020358
LP001482,1,1,0,0,1,3459,0.0,25.0,120.0,1.0,Y,False,True,False,3459.0,0.007227522405319456,3.258096538021482,8.14902386805177,3459.0,6.25,0.001806880601329864
LP001487,1,0,0,0,0,4895,0.0,102.0,360.0,1.0,Y,False,True,False,4895.0,0.020837589376915218,4.634728988229636,8.496173824192162,4895.0,8.5,0.0017364657814096017
LP001488,1,1,3,0,0,4000,7750.0,290.0,360.0,1.0,N,False,True,False,11750.0,0.02468085106382979,5.673323267171493,9.371693622333941,2937.5,24.166666666666668,0.0020567375886524825
LP001489,0,1,0,0,0,4583,0.0,84.0,360.0,1.0,N,True,False,False,4583.0,0.0183286057167794,4.442651256490317,8.430327258394575,4583.0,7.0,0.0015273838097316168
LP001491,1,1,2,0,1,3316,3500.0,88.0,360.0,1.0,Y,False,False,True,6816.0,0.012910798122065728,4.48863636973214,8.827174771362785,2272.0,7.333333333333333,0.0010758998435054772
LP001492,1,0,0,0,0,14999,0.0,242.0,360.0,0.0,N,False,True,False,14999.0,0.016134408960597372,5.493061443340548,9.615805480084347,14999.0,20.166666666666668,0.0013445340800497811
LP001493,1,1,2,1,0,4200,1430.0,129.0,360.0,1.0,N,True,False,False,5630.0,0.022912966252220248,4.867534450455582,8.636042325254618,1876.6666666666667,10.75,0.0019094138543516875
LP001497,1,1,2,0,0,5042,2083.0,185.0,360.0,1.0,N,True,False,False,7125.0,0.025964912280701753,5.225746673713202,8.871505346165781,2375.0,15.416666666666666,0.0021637426900584793
LP001498,1,0,0,0,0,5417,0.0,168.0,360.0,1.0,Y,False,False,True,5417.0,0.031013476093778844,5.1298987149230735,8.59748202264504,5417.0,14.0,0.002584456341148237
LP001504,1,0,0,0,1,6950,0.0,175.0,180.0,1.0,Y,False,True,False,6950.0,0.025179856115107913,5.170483995038151,8.846640813100485,6950.0,29.166666666666668,0.004196642685851319
